,OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID,TotalAmountPredictionByModel,TotalAmount_Original
65098,ORD0065099,28-09-2022,CUST011577,Anjali Patel,P00005,Laptop Sleeve,Clothing,Apex,3,95.15,0,14.27,11.45,311.17,Amazon Pay,Delivered,Houston,TX,United States,SELL00709,309.5155,311.17
29617,ORD0029618,17-01-2023,CUST006736,Vihaan Reddy,P00030,Dress Shirt,Clothing,CoreTech,2,26.43,0,9.51,5.34,67.71,Credit Card,Delivered,Indianapolis,IN,United States,SELL01179,69.4105,67.71
94956,ORD0094957,15-08-2024,CUST035609,Vivaan Joshi,P00046,Car Charger,Toys & Games,NexPro,5,532.51,0.05,126.47,7.11,2663,Credit Card,Delivered,Los Angeles,CA,United Kingdom,SELL00968,2662.6135,2663
72811,ORD0072812,24-07-2023,CUST046930,Anjali Singh,P00048,Wireless Charger,Books,HomeEase,4,96.94,0.05,18.42,0.57,387.36,Debit Card,Delivered,Los Angeles,CA,United States,SELL00095,390.0643,387.36
52526,ORD0052527,24-12-2022,CUST000721,Sahil Gupta,P00020,Office Chair,Books,Apex,5,433.19,0.1,0,6.53,1955.88,Amazon Pay,Delivered,San Diego,CA,India,SELL01722,1956.7514,1955.88
31674,ORD0031675,30-04-2024,CUST032174,Aditya Kapoor,P00039,Graphic Tablet,Clothing,BrightLux,1,368.58,0,66.34,11.64,446.56,Amazon Pay,Cancelled,Phoenix,AZ,United States,SELL01868,445.9606,446.56
87953,ORD0087954,25-04-2020,CUST045067,Priya Sharma,P00033,Puzzle 1000pc,Clothing,CoreTech,1,146.63,0,7.33,9.83,163.79,UPI,Returned,San Jose,CA,United States,SELL00302,163.9537,163.79
47896,ORD0047897,05-01-2021,CUST019151,Vihaan Gupta,P00002,Bluetooth Speaker,Sports & Outdoors,BrightLux,2,361.38,0.1,52.04,11.79,714.31,Net Banking,Delivered,Chicago,IL,United States,SELL00711,713.6198,714.31
99754,ORD0099755,17-08-2021,CUST031133,Vikas Patel,P00015,Instant Pot,Clothing,FitLife,5,476.49,0.05,181.07,9.99,2454.39,Credit Card,Shipped,San Diego,CA,United States,SELL01960,2454.5345,2454.39
68479,ORD0068480,26-12-2020,CUST035127,Aarav Patel,P00023,Cookware Set,Toys & Games,FitLife,3,214.61,0,77.26,8.29,729.38,Amazon Pay,Delivered,Dallas,TX,India,SELL01351,725.5994,729.38
12970,ORD0012971,26-08-2020,CUST007313,Vivaan Reddy,P00028,Jeans,Electronics,HomeEase,3,441.38,0,158.9,3.53,1486.57,Credit Card,Cancelled,San Francisco,CA,United States,SELL01558,1486.458,1486.57
24176,ORD0024177,07-02-2024,CUST049699,Aman Sharma,P00013,Action Camera,Sports & Outdoors,FitLife,3,288.07,0,69.14,13.89,947.24,Credit Card,Delivered,Seattle,WA,United Kingdom,SELL00612,944.5505,947.24
80113,ORD0080114,23-10-2022,CUST005408,Ritika Singh,P00037,Router,Sports & Outdoors,ReadMore,5,57.91,0,0,6.6,296.15,Debit Card,Delivered,Washington,DC,United States,SELL01851,295.3792,296.15
75654,ORD0075655,06-06-2022,CUST017935,Ritika Kumar,P00040,Microphone,Clothing,UrbanStyle,3,478.01,0.15,146.27,10.67,1375.87,Credit Card,Delivered,Jacksonville,FL,United Kingdom,SELL00655,1373.1236,1375.87
33501,ORD0033502,13-07-2023,CUST009320,Aditya Verma,P00022,Water Bottle,Electronics,FitLife,4,421.6,0.1,75.89,2.77,1596.42,Credit Card,Delivered,Houston,TX,United States,SELL01335,1596.6527,1596.42
97274,ORD0097275,08-05-2023,CUST048170,Anjali Singh,P00008,4K Monitor,Sports & Outdoors,UrbanStyle,5,564.95,0,225.98,6.24,3056.97,Net Banking,Delivered,San Jose,CA,India,SELL01807,3058.2781,3056.97
62128,ORD0062129,08-02-2024,CUST013632,Simran Kapoor,P00036,Smart Light Bulb,Home & Kitchen,Zenith,4,317.42,0.05,0,4.82,1211.02,Credit Card,Returned,Philadelphia,PA,United States,SELL01533,1216.6249,1211.02
65621,ORD0065622,30-06-2023,CUST032223,Simran Verma,P00038,External HDD 2TB,Electronics,BrightLux,3,147.06,0.15,45,14.95,434.95,Credit Card,Delivered,Chicago,IL,United States,SELL01821,434.1877,434.95
81764,ORD0081765,11-05-2022,CUST011660,Rohit Sharma,P00043,HDMI Cable 2m,Home & Kitchen,ReadMore,3,348.54,0.2,41.82,2.89,881.21,Net Banking,Shipped,Columbus,OH,United States,SELL00813,883.2777,881.21
39,ORD0000040,19-04-2021,CUST042096,Sunita Gupta,P00010,Smartwatch,Books,HomeEase,2,81.82,0.1,7.36,4.47,159.11,Credit Card,Delivered,Jacksonville,FL,United States,SELL01049,158.5822,159.11
48070,ORD0048071,19-03-2024,CUST037940,Sahil Kumar,P00050,Novel Bestseller,Clothing,BrightLux,5,41.57,0.05,23.69,13.57,234.72,Amazon Pay,Delivered,Columbus,OH,United States,SELL01251,234.5933,234.72
63322,ORD0063323,13-05-2021,CUST034835,Neha Kumar,P00013,Action Camera,Books,BrightLux,4,59.42,0.2,9.51,2.84,202.49,Amazon Pay,Delivered,Indianapolis,IN,United States,SELL01314,202.1473,202.49
96017,ORD0096018,23-05-2022,CUST002350,Aarav Reddy,P00047,Memory Card 128GB,Books,HomeEase,1,56.24,0.05,2.67,2.46,58.56,Amazon Pay,Delivered,Charlotte,NC,United Kingdom,SELL00755,59.0753,58.56
77229,ORD0077230,14-11-2020,CUST021216,Sneha Singh,P00034,Desk Organizer,Books,NexPro,4,220.34,0,0,11.28,892.64,Amazon Pay,Delivered,Phoenix,AZ,United States,SELL00804,894.017,892.64
1126,ORD0001127,28-08-2023,CUST008717,Vihaan Mehta,P00050,Novel Bestseller,Home & Kitchen,ReadMore,5,126.65,0.05,108.29,11.95,721.83,Credit Card,Shipped,Los Angeles,CA,United States,SELL01213,720.01,721.83
44595,ORD0044596,01-09-2020,CUST043646,Sneha Gupta,P00018,Vacuum Cleaner,Books,HomeEase,2,207.64,0.05,0,6.97,401.49,Debit Card,Delivered,Jacksonville,FL,India,SELL00869,400.8254,401.49
32239,ORD0032240,17-06-2020,CUST022733,Kabir Verma,P00038,External HDD 2TB,Home & Kitchen,Apex,5,250.16,0.25,46.9,2.23,987.23,Credit Card,Delivered,New York,NY,United States,SELL01098,984.148,987.23
24572,ORD0024573,19-09-2023,CUST024854,Simran Kapoor,P00013,Action Camera,Clothing,FitLife,5,485.65,0.05,184.55,4.22,2495.61,Net Banking,Delivered,Charlotte,NC,India,SELL00776,2495.8799,2495.61
35556,ORD0035557,20-10-2024,CUST019485,Mohit Kumar,P00024,Yoga Mat,Books,ReadMore,4,503.54,0,100.71,6.16,2121.03,Net Banking,Delivered,San Jose,CA,United States,SELL01618,2120.287,2121.03
97927,ORD0097928,02-03-2020,CUST039922,Vikas Sharma,P00044,Power Bank 20000mAh,Electronics,UrbanStyle,4,19.25,0,3.85,8.51,89.36,UPI,Shipped,Charlotte,NC,United States,SELL01594,89.5461,89.36
80303,ORD0080304,24-05-2024,CUST001676,Vikas Joshi,P00023,Cookware Set,Electronics,Zenith,1,244.71,0,19.58,4.43,268.72,Debit Card,Delivered,Charlotte,NC,United States,SELL01547,268.7852,268.72
83509,ORD0083510,09-09-2022,CUST030436,Aman Reddy,P00041,Webcam Full HD,Books,UrbanStyle,5,473.31,0.15,100.58,10.55,2122.7,Cash on Delivery,Delivered,Charlotte,NC,United States,SELL01677,2123.6877,2122.7
67045,ORD0067046,16-10-2024,CUST009864,Sunita Patel,P00013,Action Camera,Home & Kitchen,ReadMore,5,317.55,0.05,271.51,9.65,1789.52,Credit Card,Delivered,Washington,DC,United States,SELL00128,1784.9439,1789.52
63963,ORD0063964,22-03-2022,CUST043837,Kabir Patel,P00037,Router,Clothing,ReadMore,4,254.57,0,50.91,11.11,1080.3,Credit Card,Shipped,San Francisco,CA,United States,SELL00102,1078.3825,1080.3
63755,ORD0063756,27-12-2021,CUST014061,Simran Reddy,P00046,Car Charger,Sports & Outdoors,UrbanStyle,2,304,0.2,24.32,14,524.72,Credit Card,Delivered,Columbus,OH,United States,SELL00635,523.9756,524.72
569,ORD0000570,15-02-2023,CUST034307,Pooja Singh,P00031,Kids Toy Car,Home & Kitchen,Zenith,4,158.42,0.05,48.16,12.19,662.35,Cash on Delivery,Delivered,San Francisco,CA,United States,SELL01756,662.9423,662.35
56349,ORD0056350,06-07-2022,CUST046102,Neha Sharma,P00021,Backpack,Toys & Games,UrbanStyle,2,599.87,0,143.97,9.81,1353.52,Credit Card,Delivered,Austin,TX,India,SELL01176,1352.1081,1353.52
20955,ORD0020956,28-12-2020,CUST030115,Vivaan Verma,P00041,Webcam Full HD,Home & Kitchen,FitLife,4,227.54,0.2,87.38,4.76,820.27,Credit Card,Delivered,Philadelphia,PA,United States,SELL00148,820.0699,820.27
95163,ORD0095164,28-08-2023,CUST048044,Aman Mehta,P00045,Phone Tripod,Clothing,FitLife,5,318.79,0.05,121.14,3.18,1638.57,Net Banking,Shipped,Columbus,OH,Australia,SELL01028,1639.5268,1638.57
19086,ORD0019087,17-08-2020,CUST037446,Pooja Joshi,P00008,4K Monitor,Home & Kitchen,Zenith,2,300.28,0,48.04,3.61,652.21,Credit Card,Delivered,Los Angeles,CA,India,SELL01927,653.255,652.21
56770,ORD0056771,03-09-2024,CUST032782,Sunita Verma,P00013,Action Camera,Toys & Games,FitLife,4,185.06,0.3,41.45,10.11,569.73,Amazon Pay,Delivered,Phoenix,AZ,United States,SELL00776,578.1202,569.73
96926,ORD0096927,15-05-2021,CUST021621,Sneha Sharma,P00028,Jeans,Sports & Outdoors,KiddoFun,5,572.99,0,515.69,5.05,3385.69,UPI,Returned,San Francisco,CA,United States,SELL00355,3389.0104,3385.69
50338,ORD0050339,14-08-2021,CUST018368,Sahil Mehta,P00030,Dress Shirt,Toys & Games,ReadMore,1,204.02,0,10.2,12.21,226.43,Credit Card,Delivered,Charlotte,NC,United Kingdom,SELL01678,226.2698,226.43
21363,ORD0021364,13-02-2022,CUST048217,Simran Reddy,P00007,Mechanical Keyboard,Books,KiddoFun,3,549.93,0.1,74.24,2.85,1561.9,UPI,Delivered,Columbus,OH,United States,SELL01936,1562.5761,1561.9
56031,ORD0056032,25-05-2023,CUST020651,Arjun Reddy,P00016,Air Fryer,Electronics,UrbanStyle,5,46.65,0,27.99,4.89,266.13,UPI,Delivered,Columbus,OH,United States,SELL01074,265.3469,266.13
43370,ORD0043371,02-05-2020,CUST002878,Simran Sharma,P00027,Winter Jacket,Home & Kitchen,FitLife,3,326.64,0.15,99.95,11.37,944.25,Credit Card,Delivered,Fort Worth,TX,United States,SELL00929,943.155,944.25
36933,ORD0036934,18-01-2023,CUST003602,Sahil Kumar,P00047,Memory Card 128GB,Toys & Games,KiddoFun,4,21.41,0.1,6.17,4.45,87.7,Credit Card,Delivered,San Diego,CA,United Kingdom,SELL00152,86.6975,87.7
16151,ORD0016152,16-01-2020,CUST020998,Vikas Patel,P00023,Cookware Set,Sports & Outdoors,UrbanStyle,1,581.99,0.05,44.23,6.06,603.18,UPI,Returned,Seattle,WA,United States,SELL01231,602.595,603.18
58684,ORD0058685,21-05-2021,CUST027147,Kabir Patel,P00041,Webcam Full HD,Books,KiddoFun,5,566.52,0.1,458.88,12.44,3020.66,Net Banking,Shipped,Charlotte,NC,United States,SELL01811,3022.0498,3020.66
48018,ORD0048019,26-04-2022,CUST016707,Aditya Kapoor,P00044,Power Bank 20000mAh,Sports & Outdoors,HomeEase,2,442.47,0,44.25,7.41,936.6,Amazon Pay,Delivered,Washington,DC,United States,SELL01958,935.8382,936.6
55094,ORD0055095,16-11-2023,CUST030037,Pooja Kumar,P00035,Desk Plant,Books,UrbanStyle,2,296.52,0.1,64.05,0.58,598.37,Credit Card,Delivered,San Jose,CA,India,SELL00775,604.1277,598.37
55909,ORD0055910,05-07-2022,CUST035515,Vivaan Mehta,P00047,Memory Card 128GB,Toys & Games,ReadMore,5,339.74,0.05,80.69,4.15,1698.6,Credit Card,Shipped,Fort Worth,TX,United States,SELL00256,1697.7623,1698.6
51130,ORD0051131,02-08-2022,CUST018138,Aarav Singh,P00025,Running Shoes,Books,FitLife,5,402.84,0.2,128.91,10.03,1750.3,UPI,Delivered,Austin,TX,Australia,SELL01833,1748.942,1750.3
83175,ORD0083176,13-05-2023,CUST038497,Aarav Kapoor,P00046,Car Charger,Electronics,Apex,4,397.67,0,79.53,12.44,1682.65,Amazon Pay,Delivered,Phoenix,AZ,United States,SELL01472,1681.8019,1682.65
68685,ORD0068686,27-12-2021,CUST022888,Aman Joshi,P00046,Car Charger,Clothing,CoreTech,2,160.05,0.05,24.33,13.57,342,Debit Card,Delivered,Seattle,WA,United States,SELL01495,340.8095,342
65088,ORD0065089,28-02-2020,CUST033183,Mohit Mehta,P00042,Projector Mini,Home & Kitchen,FitLife,5,235.21,0,58.8,14.37,1249.22,Amazon Pay,Delivered,Phoenix,AZ,United States,SELL00672,1248.3858,1249.22
90073,ORD0090074,21-12-2023,CUST037052,Aarav Reddy,P00015,Instant Pot,Electronics,UrbanStyle,4,63.28,0.05,28.86,3.74,273.06,UPI,Delivered,Seattle,WA,United States,SELL01813,277.7487,273.06
2600,ORD0002601,04-12-2021,CUST010061,Arjun Sharma,P00047,Memory Card 128GB,Electronics,Apex,5,559.46,0,139.86,6.23,2943.39,Debit Card,Shipped,New York,NY,United States,SELL00291,2943.5024,2943.39
21511,ORD0021512,29-11-2022,CUST041153,Karan Joshi,P00027,Winter Jacket,Clothing,Apex,2,29.13,0.05,4.43,14.78,74.56,Cash on Delivery,Shipped,Los Angeles,CA,United States,SELL01459,74.5365,74.56
61603,ORD0061604,22-02-2021,CUST030826,Aditya Kumar,P00006,Gaming Mouse,Sports & Outdoors,BrightLux,3,532.03,0.05,181.95,5.08,1703.32,Debit Card,Delivered,Denver,CO,United States,SELL00906,1703.8662,1703.32
21195,ORD0021196,19-02-2022,CUST003346,Pooja Patel,P00010,Smartwatch,Toys & Games,Zenith,4,250.9,0.15,153.55,12.46,1019.07,Debit Card,Delivered,Columbus,OH,United Kingdom,SELL01401,1019.0705,1019.07
43787,ORD0043788,22-02-2022,CUST029468,Neha Patel,P00006,Gaming Mouse,Sports & Outdoors,UrbanStyle,5,537.04,0.15,182.59,9.04,2474.05,Net Banking,Shipped,San Jose,CA,Canada,SELL00652,2472.3724,2474.05
53406,ORD0053407,15-03-2023,CUST006655,Vivaan Gupta,P00047,Memory Card 128GB,Electronics,HomeEase,1,392.8,0.15,40.07,12.84,386.79,UPI,Delivered,Fort Worth,TX,United States,SELL00235,385.3966,386.79
91983,ORD0091984,03-10-2023,CUST033335,Vihaan Kumar,P00045,Phone Tripod,Clothing,Zenith,3,336.54,0.2,64.62,4.27,876.59,UPI,Delivered,Houston,TX,United States,SELL01806,875.5453,876.59
59371,ORD0059372,29-07-2021,CUST047085,Aditya Joshi,P00010,Smartwatch,Toys & Games,Zenith,4,449.5,0,215.76,9.45,2023.21,Credit Card,Delivered,San Jose,CA,Australia,SELL00735,2021.4188,2023.21
95125,ORD0095126,28-08-2022,CUST036082,Karan Joshi,P00042,Projector Mini,Toys & Games,HomeEase,3,42.83,0,0,10.51,139,UPI,Delivered,Los Angeles,CA,India,SELL00684,138.0577,139
88320,ORD0088321,13-08-2024,CUST010805,Vivaan Gupta,P00028,Jeans,Clothing,Apex,1,178.8,0,8.94,5.33,193.07,Credit Card,Delivered,San Antonio,TX,United States,SELL00601,192.6271,193.07
91093,ORD0091094,21-02-2020,CUST011317,Kabir Patel,P00030,Dress Shirt,Electronics,FitLife,1,381.56,0.1,41.21,10.48,395.09,Debit Card,Delivered,Philadelphia,PA,India,SELL01344,394.9186,395.09
72369,ORD0072370,14-05-2023,CUST027800,Kabir Mehta,P00010,Smartwatch,Sports & Outdoors,BrightLux,3,534.38,0.05,182.76,6.12,1711.86,Amazon Pay,Shipped,Chicago,IL,United States,SELL00174,1712.2951,1711.86
30137,ORD0030138,28-02-2023,CUST016359,Kabir Singh,P00027,Winter Jacket,Home & Kitchen,HomeEase,1,132.25,0.1,5.95,8.81,133.78,Net Banking,Delivered,Dallas,TX,United States,SELL01744,133.1078,133.78
43064,ORD0043065,02-05-2022,CUST048038,Vivaan Joshi,P00031,Kids Toy Car,Sports & Outdoors,CoreTech,4,161.18,0.25,38.68,13.94,536.16,Debit Card,Delivered,Charlotte,NC,United States,SELL00991,534.0948,536.16
72413,ORD0072414,20-01-2021,CUST006732,Aman Mehta,P00033,Puzzle 1000pc,Electronics,ReadMore,4,316.3,0.1,136.64,2.12,1277.44,Debit Card,Delivered,Columbus,OH,Canada,SELL01210,1278.3546,1277.44
36757,ORD0036758,21-07-2020,CUST037986,Pooja Joshi,P00041,Webcam Full HD,Electronics,HomeEase,5,301.13,0,0,8.22,1513.87,Credit Card,Delivered,San Jose,CA,United Kingdom,SELL00206,1513.7926,1513.87
86968,ORD0086969,28-10-2020,CUST007793,Arjun Singh,P00016,Air Fryer,Clothing,UrbanStyle,4,86.43,0.1,15.56,13.86,340.57,UPI,Delivered,Dallas,TX,United States,SELL01742,340.6874,340.57
75113,ORD0075114,29-01-2022,CUST041693,Pooja Kapoor,P00027,Winter Jacket,Sports & Outdoors,FitLife,1,18.97,0,0,7.04,26.01,Credit Card,Delivered,Fort Worth,TX,United States,SELL00787,26.2169,26.01
21700,ORD0021701,17-04-2024,CUST043186,Mohit Joshi,P00003,Smartphone Case,Electronics,FitLife,4,551.02,0.1,158.69,5.82,2148.18,Amazon Pay,Delivered,San Diego,CA,United States,SELL00382,2148.2817,2148.18
28155,ORD0028156,18-02-2024,CUST040344,Aman Reddy,P00028,Jeans,Toys & Games,HomeEase,4,486.56,0,97.31,3.97,2047.52,Debit Card,Delivered,Phoenix,AZ,United States,SELL01810,2048.713,2047.52
74883,ORD0074884,07-03-2020,CUST037038,Mohit Joshi,P00028,Jeans,Toys & Games,BrightLux,1,597.79,0,0,12.51,610.3,Amazon Pay,Delivered,Indianapolis,IN,United States,SELL01427,608.0559,610.3
991,ORD0000992,23-01-2021,CUST018326,Priya Kapoor,P00023,Cookware Set,Home & Kitchen,NexPro,5,219.88,0.05,52.22,14.84,1111.49,Credit Card,Delivered,San Diego,CA,United States,SELL01558,1107.2212,1111.49
17071,ORD0017072,17-05-2023,CUST048695,Vikas Reddy,P00034,Desk Organizer,Clothing,Apex,1,186.59,0.15,28.55,4.57,191.72,Credit Card,Delivered,San Diego,CA,United States,SELL00983,192.2862,191.72
86898,ORD0086899,03-06-2022,CUST021925,Vivaan Verma,P00029,T-Shirt,Books,KiddoFun,2,165.38,0.05,25.14,4.2,343.56,Credit Card,Delivered,Los Angeles,CA,United States,SELL01459,344.398,343.56
94352,ORD0094353,29-07-2024,CUST014486,Aarav Gupta,P00006,Gaming Mouse,Home & Kitchen,UrbanStyle,4,456.51,0.15,186.26,14.43,1752.82,Credit Card,Delivered,San Diego,CA,United Kingdom,SELL01150,1754.6972,1752.82
58548,ORD0058549,19-12-2021,CUST036422,Anjali Mehta,P00011,Fitness Band,Toys & Games,NexPro,4,480.49,0.1,138.38,5.45,1873.59,Credit Card,Delivered,Phoenix,AZ,India,SELL01956,1872.5159,1873.59
77612,ORD0077613,31-03-2020,CUST035606,Kabir Mehta,P00029,T-Shirt,Books,ReadMore,1,405.91,0.2,38.97,3.41,367.11,Amazon Pay,Shipped,Fort Worth,TX,United States,SELL00749,368.2724,367.11
2551,ORD0002552,10-08-2023,CUST030207,Pooja Kumar,P00010,Smartwatch,Electronics,FitLife,2,526.13,0.15,71.55,0.03,966,Debit Card,Shipped,San Jose,CA,United States,SELL01033,968.2653,966
82446,ORD0082447,19-10-2023,CUST039958,Karan Mehta,P00048,Wireless Charger,Home & Kitchen,HomeEase,5,410.61,0.1,92.39,9.59,1949.72,Debit Card,Delivered,Indianapolis,IN,India,SELL01147,1947.6356,1949.72
12700,ORD0012701,13-06-2024,CUST048558,Sahil Singh,P00021,Backpack,Electronics,NexPro,3,246.41,0,59.14,12.23,810.6,UPI,Delivered,Phoenix,AZ,United States,SELL01223,808.9613,810.6
32350,ORD0032351,08-02-2023,CUST025685,Aman Singh,P00003,Smartphone Case,Clothing,FitLife,5,11.96,0,4.78,1.54,66.12,Amazon Pay,Shipped,Los Angeles,CA,United States,SELL00437,65.7876,66.12
58689,ORD0058690,07-04-2024,CUST042331,Sunita Sharma,P00043,HDMI Cable 2m,Home & Kitchen,Zenith,2,313.34,0,50.13,5.38,682.19,Credit Card,Delivered,Chicago,IL,United States,SELL00085,683.1286,682.19
29989,ORD0029990,27-06-2022,CUST005553,Karan Singh,P00046,Car Charger,Clothing,CoreTech,4,424.8,0,305.86,9.33,2014.39,Debit Card,Delivered,Chicago,IL,United States,SELL00379,2012.0118,2014.39
8129,ORD0008130,21-04-2023,CUST015797,Ritika Gupta,P00013,Action Camera,Books,UrbanStyle,2,290.21,0.1,41.79,4.77,568.94,Credit Card,Delivered,Charlotte,NC,India,SELL00030,568.6142,568.94
79391,ORD0079392,19-05-2023,CUST021403,Aman Sharma,P00042,Projector Mini,Sports & Outdoors,UrbanStyle,4,183.69,0.05,0,4.69,702.71,Credit Card,Delivered,Jacksonville,FL,India,SELL00452,707.3658,702.71
95945,ORD0095946,14-10-2024,CUST013344,Sahil Mehta,P00004,USB-C Charger,Toys & Games,ReadMore,5,185.26,0,46.32,10.33,982.95,Credit Card,Delivered,Charlotte,NC,Canada,SELL00105,981.1012,982.95
21892,ORD0021893,01-08-2021,CUST047524,Priya Sharma,P00042,Projector Mini,Electronics,BrightLux,5,460.52,0,184.21,9.95,2496.76,Debit Card,Shipped,Fort Worth,TX,United Kingdom,SELL00383,2496.501,2496.76
91177,ORD0091178,16-03-2023,CUST001875,Priya Patel,P00003,Smartphone Case,Sports & Outdoors,UrbanStyle,3,45.62,0,10.95,13.49,161.3,Debit Card,Shipped,San Diego,CA,United States,SELL01360,158.8868,161.3
7078,ORD0007079,09-04-2021,CUST036869,Priya Joshi,P00035,Desk Plant,Sports & Outdoors,CoreTech,2,170.94,0,61.54,14.55,417.97,UPI,Delivered,San Diego,CA,United States,SELL01914,414.1935,417.97
28500,ORD0028501,11-07-2021,CUST040560,Sneha Joshi,P00042,Projector Mini,Books,Zenith,3,443.52,0,106.44,11.3,1448.3,Debit Card,Delivered,Washington,DC,India,SELL00188,1447.1458,1448.3
61634,ORD0061635,07-02-2022,CUST046350,Sneha Reddy,P00032,Board Game,Clothing,KiddoFun,3,60.01,0,14.4,0.66,195.09,Net Banking,Shipped,Phoenix,AZ,Australia,SELL00921,195.3456,195.09
17578,ORD0017579,20-07-2024,CUST016645,Ritika Patel,P00033,Puzzle 1000pc,Clothing,BrightLux,2,390.41,0,62.47,11.17,854.46,Credit Card,Delivered,Columbus,OH,United States,SELL00164,854.9235,854.46
54047,ORD0054048,17-08-2023,CUST000151,Sneha Verma,P00015,Instant Pot,Toys & Games,ReadMore,2,420.06,0.25,75.61,11.82,717.52,Credit Card,Shipped,Chicago,IL,United States,SELL00417,717.4599,717.52
41316,ORD0041317,07-01-2022,CUST016204,Sunita Joshi,P00017,Electric Kettle,Electronics,Apex,2,411.41,0,65.83,12.84,901.49,Cash on Delivery,Delivered,Washington,DC,United States,SELL01167,900.9559,901.49
22259,ORD0022260,19-02-2024,CUST048826,Vivaan Kumar,P00017,Electric Kettle,Sports & Outdoors,Zenith,4,506.83,0.2,291.93,7.24,1921.03,UPI,Shipped,Fort Worth,TX,United States,SELL00551,1927.6761,1921.03
35200,ORD0035201,27-03-2024,CUST040224,Priya Verma,P00044,Power Bank 20000mAh,Electronics,FitLife,1,485.02,0.1,34.92,13.16,484.6,Credit Card,Delivered,Philadelphia,PA,India,SELL01054,483.9423,484.6
95359,ORD0095360,31-05-2020,CUST039131,Anjali Patel,P00018,Vacuum Cleaner,Toys & Games,FitLife,3,115.79,0,27.79,4.67,379.83,Amazon Pay,Delivered,New York,NY,United States,SELL01483,379.6168,379.83
22821,ORD0022822,19-04-2020,CUST021792,Neha Singh,P00022,Water Bottle,Books,KiddoFun,5,94.56,0.1,34.04,14.81,474.37,Debit Card,Shipped,Columbus,OH,United States,SELL00172,475.6088,474.37
72815,ORD0072816,09-09-2023,CUST031752,Neha Kapoor,P00046,Car Charger,Electronics,Apex,4,280.68,0,134.73,13.57,1271.02,Debit Card,Delivered,Jacksonville,FL,India,SELL00029,1268.0252,1271.02
5286,ORD0005287,31-08-2023,CUST013612,Neha Sharma,P00019,LED Desk Lamp,Sports & Outdoors,KiddoFun,1,458.23,0,36.66,14.03,508.92,Net Banking,Delivered,Phoenix,AZ,United States,SELL00995,508.3547,508.92
24524,ORD0024525,27-04-2021,CUST033232,Priya Kumar,P00015,Instant Pot,Sports & Outdoors,NexPro,1,459.27,0,0,0.72,459.99,Credit Card,Returned,Chicago,IL,India,SELL00987,463.8321,459.99
26523,ORD0026524,08-12-2021,CUST038553,Kabir Gupta,P00049,Children's Book,Sports & Outdoors,Zenith,3,27.57,0.05,6.29,11.27,96.13,Debit Card,Delivered,Seattle,WA,United States,SELL01771,96.0725,96.13
38105,ORD0038106,18-06-2021,CUST044026,Aman Reddy,P00031,Kids Toy Car,Sports & Outdoors,KiddoFun,5,523.76,0,130.94,13.74,2763.48,Credit Card,Pending,Washington,DC,United Kingdom,SELL00472,2761.9025,2763.48
35295,ORD0035296,10-11-2020,CUST026625,Simran Kapoor,P00048,Wireless Charger,Toys & Games,Apex,5,466.36,0.05,110.76,10.21,2336.18,Credit Card,Pending,Dallas,TX,United States,SELL01316,2336.5472,2336.18
77172,ORD0077173,29-04-2021,CUST035051,Sneha Mehta,P00031,Kids Toy Car,Home & Kitchen,BrightLux,5,542.37,0.05,309.15,10.77,2896.18,Net Banking,Shipped,San Francisco,CA,United States,SELL01732,2894.8288,2896.18
35856,ORD0035857,22-04-2021,CUST045122,Pooja Joshi,P00036,Smart Light Bulb,Books,HomeEase,1,342.65,0.15,0,2.65,293.9,Net Banking,Delivered,San Francisco,CA,United States,SELL00373,296.168,293.9
54970,ORD0054971,03-12-2023,CUST041228,Aditya Mehta,P00016,Air Fryer,Clothing,Zenith,3,204.35,0.1,27.59,10.66,590,Credit Card,Delivered,San Diego,CA,United States,SELL00986,588.6915,590
31965,ORD0031966,14-09-2022,CUST016827,Kabir Joshi,P00008,4K Monitor,Toys & Games,UrbanStyle,3,300.51,0.3,75.73,14.06,720.86,Net Banking,Cancelled,Washington,DC,United States,SELL00045,736.2506,720.86
3560,ORD0003561,21-06-2022,CUST012202,Pooja Sharma,P00033,Puzzle 1000pc,Books,NexPro,3,588.26,0,0,14.52,1779.3,Credit Card,Delivered,New York,NY,United States,SELL00415,1774.2782,1779.3
11289,ORD0011290,12-06-2023,CUST033021,Arjun Patel,P00002,Bluetooth Speaker,Toys & Games,UrbanStyle,4,13.46,0,0,7.48,61.32,Credit Card,Delivered,Austin,TX,United States,SELL01560,60.1044,61.32
92281,ORD0092282,05-09-2021,CUST028825,Sneha Mehta,P00032,Board Game,Home & Kitchen,UrbanStyle,2,288.73,0.05,27.43,4.25,580.27,UPI,Shipped,Philadelphia,PA,India,SELL00984,580.4634,580.27
32579,ORD0032580,14-09-2022,CUST042521,Aditya Kapoor,P00022,Water Bottle,Clothing,BrightLux,2,70.74,0,7.07,9.14,157.69,Amazon Pay,Delivered,Fort Worth,TX,United States,SELL00731,156.5033,157.69
43375,ORD0043376,03-12-2020,CUST039413,Vihaan Mehta,P00008,4K Monitor,Toys & Games,NexPro,3,456.4,0,109.54,10.66,1489.4,Credit Card,Returned,Dallas,TX,India,SELL01204,1488.9582,1489.4
